,bigram,0,1,2,3,4,5,6,7,8,9,10,11
0,bed and, the, the, the, a, the, the, the, the, the, the, the, the
1,bread and,",", other, a, other, other, other, other, other, other, other, other, other
2,salt and, the, salt, other, salt, salt, salt, salt, salt, salt, salt, salt, salt
3,thunder and,., the, the, the, the, the, the, the, the, the, the, the
4,social media,.,"""","""","""","""","""",",",",","""","""",",",""""
5,credit card,.,),),),),),),),),),),)
6,climate change,.,.,.,.,.,.,.,.,.,.,.,.
7,artifical intelligence,.,.,.,.,.,.,.,.,.,.,.,.
8,global warming,.,.,.,.,.,.,.,.,.,.,.,.
9,state of,., the, the, the, the, the, the, the, the, the, the, the
10,fast food,.,",",",",",",",",",",",",",",",",",",",",","
11,rising sea,",", of, of, of, of,",", of, of, of, of, of, of
12,University of, the, California, California, California, California, California, California, California, California, California, California, California
13,We will,., be, be, be, be, be, be, be, be, be, be, not
14,Do you, the, think, think, think, think, have, think, think, think, think, think, think
15,When you, the,'re,'re,'re,'re,'re,'re,'re,'re,'re,'re,'re
16,did not,., have, have, have, have, have, have, have, have, have, have, have
17,You can, the, also, also,'t, also, also, also, also, also, also, also, also
18,You may,., have, have, have, also, also, have, have, have, have, have, have
19,He was, a, a, a, a, a, a, a, a, a, a, a, a
20,If you,",",'re,'re,'re,'re,'re,'re,'re,'re,'re,'re,'re
21,when they, are,'re,'re,'re,'re,'re,'re,'re,'re,'re,'re,'re
22,be in, the, the, the, the, the, the, the, the, the, the, the, the
23,the end,., of, of, of, of, of, of, of, of, of, of, of
24,the past, of, few,",", few, few, few, few,",", few, few, few, few
25,each other,.,),),),),),),",",),),),)
26,and there,.,'s,'s,'s,'s,'s,'s,'s,'s,'s,'s,'s
27,on all,., the, the, the, the, the, the, the, the, the, the, the
28,the form, of, of, of, of, of, of, of, of, of, of, of, of
29,in all,., the, the,",", the,",", the, the, the, the, the, the
30,years ago, and,.,",",",",.,.,.,.,.,.,.,.
31,for example,",",",",",",",",",",",",",",",",",",",",",",","
32,to top,., of, of, of, it, it, it, it, of, of, of, of
33,and on, the, the, the, the, the, the, the, the, the, the, the, the
34,as well, of, as, as, as, as, as, as, as, as, as, as, as
35,to all,., the, the, the, the, the, the, the, the, the, the, the
36,as possible,.,.,.,.,.,.,.,.,.,.,.,.
37,a member,",", of, of, of, of, of, of, of, of, of, of, of
38,more info,., on,],),),], on,],],],],]
