,bigram,0,1,2,3,4,5,6,7,8,9,10,11
0,bed and, a, a, as, the, a, the, the, the, the, the, a, the
1,bread and, the, the," """, other, a, other, other, other, other, a, other, sugar
2,salt and, the, the, Green, salt, the, salt, salt, salt, salt, salt, the, water
3,thunder and, the, we, the, the, the, the, the, the, the, the, the, the
4,social media,.,"""", and,"""","""","""",",",.,"""","""","""",""""
5,credit card,.,",",",",),",",),),),),),),)
6,climate change,.,"""", to,",",.,.,.,.,.,.,.,","
7,artifical intelligence,.,",",-,.,",",.,.,.,",",.,",",.
8,global warming,.,",","
",.,.,.,.,.,.,.,",",.
9,state of, the, the, a, the, the, the, the, the, the, the, the, the
10,fast food,., and,-,",",",",",",.,",",",",",",., and
11,rising sea,.,.,"
",",", of,.,., of,., of, of, ice
12,University of, the, Alpha, the, California, California, New, California, California, California, California, Texas, Pennsylvania
13,We will, be, be,., be, be, not, not, not, be, be, not, continue
14,Do you, know, are,"""", have, think, think, think, think, think, think, have, have
15,When you,'re, want, and,'re,'re,'re,'re,'re,'re,'re,'re, look
16,did not, be, be, being, have, have, have, know, have, have, have, have, have
17,You can,'t,'t, can, also,'t,'t, see,'t, also, also, see, choose
18,You may, not, not, be, have, also, have, have, have, have, have, wish, download
19,He was, a, a, also, a, a, a, a, a, a, a, not, a
20,If you,'re, have,"
",'re,'re, are,'re,'re,'re,'re, are, are
21,when they, are, were, were,'re,'re,'re,'re,'re,'re, are, are,'re
22,be in, the, the, the, the, the, the, the, the, the, the, the, the
23,the end, of, of,-, of, of, of, of, of, of, of, of, of
24,the past,),",", the,",",",",",", few,",", few, two,",", few
25,each other,.,:,-,.,",",.,",",'s,'s,),),)
26,and there, is, was, is,'s, are,'s,'s,'s,'s,'s,'s,'s
27,on all, the,",",_, the, you, the, the, the, the, the, the, the
28,the form, of, of, governor, of, of, of, of, of, of, of, of, of
29,in all, of, the,-,",", the,",", the, the,",",",", the, the
30,years ago,",", -,",",.,.,.,",",",",.,.,",",","
31,for example,",",","," """,",",",",",",",",",",",",",",",",","
32,to top, the, of,"
", of, it, of, of, of, of, of, of, of
33,and on, the, the, the, the, the, the, the, the, the, the, the, the
34,as well,",", as, as, as, as, as, as, as, as, as, as, as
35,to all, the,-," """, the, of,., the, the, the, the,., the
36,as possible, to,., commercial,.,.,.,.,.,.,.,",",.
37,a member,., of, of, of, of, of, of, of, of, of, of, of
38,more info,:,"
",-,:,],),], on,],:, on,)
