,bigram,0,1,2,3,4,5,6,7,8,9,10,11
0,bed and, everyone, We, to, all, and,"
", the,st, error,ッド,VILLE, Heaven
1,bread and, to, In,],mand,ers, S, cold, G,ist,testing,TI,ilk
2,salt and,�, the,"
", their, CAM, Sen, as,X, und, results,................................................................,icum
3,thunder and, A, repeated,"
", of,",",",", 1,8, Safety,king, hrs,etheless
4,social media, special,"
",and, et,"
",.,",",-, still, waiting, Studies,encies
5,credit card, and,Esc,und,/, custody, to,., about, Americans,her, Racing,arf
6,climate change, (, yet, v, time,The,",", and,ation, years, or,dom,abor
7,artifical intelligence, add, NFL,pt,",",",",",", (,ettel, and,ate, exit,�
8,global warming,vel,?, Scheme,is, not,",",making, Carlton,"""",-,bite,icable
9,state of,inter,"
","
", their,/, EL, Ab, more,MS," """, airport,cial
10,fast food,verse,., food, Extension, ', ingredients,., T, on, school,IO, sshd
11,rising sea, Irwin,--, loving, and, on,"""", dec,-, Gods, play,ゼ, cess
12,University of, -, the, of,ess,ised,oval, F,pl,i, Card,apon, Golem
13,We will,ed, >, re, Mil, the,det,hip, SC,ill,mine,ador,github
14,Do you, short, they,"—""", condition,",", the,:, must, in,-,iversity,pt
15,When you,-,handle, brown,on, K, she, always, j, not, debate,wagen,tower
16,did not, When,-,ICE," """,s,p, -, striking,",", neighbor,━,rawdownloadcloneembedreportprint
17,You can, cover,.,Tal,:,Supp, the, the,Shell, said, process,dale, Barg
18,You may, [,ar,-, on, [, and,<|endoftext|>, to,tailed,occ, Bry, conduc
19,He was,v,.,ML, things,",", the, the,Sys,",",ル,ogen, lif
20,If you, league, on,",", the,"
",—, and,",",German,aryl,ococ, Souls
21,when they,姫,ave, liberal,ain, Lat,",",�, out,'d, needle, Cruel,atar
22,be in,ing, American, it," """, freedom, #, , S,ux,CB,advertising,binding
23,the end, we,., do,and,ward,],te, shock, fat, office, Hart, superintendent
24,the past,-,—, -, ',., to,.,.,U,els,AZ, fragment
25,each other,ly, &, –,., such,s, in,x,�,",", age,paces
26,and there,), (, the,key, ent,], the,ble, dump, pat,hiro, Annotations
27,on all, sid,of, as,Gr,ery,",",_,x, Bloody,-,gap,onite
28,the form, diplomatic,:,),"

",/, R, (,etting,bed,ß,RAG, vans
29,in all, spread," """, of,...,",",",", Like, great,【,anch, wave, Quinn
30,years ago,.,"
", search,',:,-,"
",",", who, �, regard,Operation
31,for example, otherwise, was, in,on, like, I,ic, [, MARK,�,Mex,************
32,to top,",",th,form, or,",",ing, deploy, on, Mon,Iraq,forts,iva
33,and on, grat,"""",",",-, man, White,"
", ro, Relic,uk,NetMessage,umbn
34,as well,vert, can,.., over, combined,Var, II,",", the, systematically, Hud,enegger
35,to all,ass,...,-, have, [,.,z, in,s, Idea,velt,cast
36,as possible,BRE, or, at,], f,-, with,(,eng, –,ly,](
37,a member, Arab,"""",",", (, the,"
",il, from,s,�, Nielsen, Arizona
38,more info,Tech,�,.,., I,"""",",", (, <[, the,aye,angled
